Id,MatchId,PlayerId,Average,CheckoutPercentage,Total180s,Total140s,HighestCheckout,LegsWon,SetsWon
518,259,29,86.45,35,0,17,86,9,null
519,260,16,101.79,45,6,16,122,9,null
520,260,2,108.69,42,7,14,100,10,null
521,261,14,90.60,32,6,8,81,10,null
522,261,57,87.72,27,3,14,100,7,null
523,262,22,86.46,32,4,9,121,10,null
524,262,35,83.05,35,1,11,32,6,null
525,263,55,92.94,37,4,11,121,7,null
526,263,53,96.18,34,5,13,84,10,null
527,264,65,85.86,34,2,15,87,10,null
528,264,97,83.15,35,0,10,167,7,null
529,265,17,92.28,38,3,16,130,10,null
530,265,68,85.23,39,0,12,60,7,null
531,266,24,95.59,29,6,11,81,10,null
532,266,26,90.25,32,2,10,89,8,null
533,267,149,86.87,42,4,10,84,10,null
534,267,93,84.61,27,2,11,108,6,null
535,268,10,91.31,43,2,11,142,10,null
536,268,50,81.41,14,0,4,32,2,null
537,269,4,94.59,32,6,8,148,6,null
538,269,7,95.87,36,5,13,149,10,null
539,270,1,102.45,40,4,14,32,10,null
540,270,161,92.67,35,6,5,126,7,null
541,271,33,92.43,38,2,10,112,10,null
542,271,19,85.97,22,5,5,164,4,null
543,272,5,93.64,40,6,7,81,10,null
544,272,96,87.32,20,2,7,32,3,null
545,273,42,92.53,38,2,8,81,6,null
546,273,21,95.03,48,4,11,148,10,null
547,274,58,92.05,36,3,18,82,10,null
548,274,98,94.91,32,7,10,78,7,null
549,275,9,89.75,40,2,8,106,10,null
550,275,156,86.53,21,4,9,146,4,null
551,276,8,95.26,47,3,12,123,9,null
552,276,56,99.62,38,5,20,121,10,null
553,277,12,96.13,38,6,11,140,10,null
554,277,92,88.19,29,2,11,156,5,null
555,278,3,97.03,42,4,11,127,10,null
556,278,32,99.92,32,12,10,76,8,null
557,279,17,94.66,45,127,6,7,10,null
558,279,65,90.68,39,5,11,108,9,null
559,280,12,104.82,40,8,13,103,10,null
560,280,14,101.39,45,11,15,156,9,null
561,281,13,90.42,44,5,9,114,8,null
562,281,34,97.24,43,4,11,125,10,null
563,282,22,94.60,38,7,12,102,10,null
564,282,7,94.32,36,8,11,124,9,null
565,283,24,91.59,42,4,5,104,10,null
566,283,91,82.93,25,0,5,105,3,null
567,284,62,92.24,20,1,8,164,3,null
568,284,47,100.67,59,1,8,106,10,null
569,285,53,94.86,35,7,10,80,7,null
570,285,6,96.85,50,3,15,122,10,null
571,286,2,104.21,56,8,6,136,10,null
572,286,25,101.11,31,4,9,125,4,null
573,287,33,94.83,41,6,12,156,9,null
574,287,5,92.10,45,3,12,90,10,null
575,288,23,91.73,38,6,4,89,10,null
576,288,149,88.66,10,3,6,32,2,null
577,289,20,92.42,0,1,5,0,0,null
578,289,1,100.20,53,5,7,85,10,null
579,290,21,94.96,43,9,7,164,10,null
580,290,46,90.13,32,7,8,130,7,null
581,291,56,95.19,37,3,10,84,7,null
582,291,10,93.24,48,3,7,114,10,null
583,292,3,95.00,30,6,11,100,8,null
584,292,58,90.56,40,3,14,121,10,null
585,293,9,97.57,48,4,10,120,10,null
586,293,15,101.02,53,11,6,116,9,null
587,294,18,97.26,50,7,11,167,10,null
588,294,61,97.46,37,3,12,130,7,null
589,295,17,90.90,28.57,3,11,110,4,null
590,295,6,98.04,41.67,5,16,101,10,null
591,296,21,89.24,40,1,10,110,10,null
592,296,22,70.90,15,1,6,40,3,null
593,297,5,95.00,29.41,6,19,101,10,null
594,297,58,90.24,27.59,5,22,161,8,null
595,298,34,97.77,44.44,5,14,104,8,null
596,298,2,97.99,37.04,6,18,92,10,null
597,299,10,98.85,90,5,18,87,9,null
598,299,18,109.90,76.92,9,28,127,10,null
599,300,24,92.93,33.33,3,6,142,2,null
